Name,Address,CVR,Status,Company Type
Cafe Aalborg ApS (Under konkurs),"C/O Per Henrik Jørgensen, Asylvej 7, 9000 Aalborg, 43829882, Under konkurs, Anpartsselskab",,,
La Locanda dei Liberati ApS (Under konkurs),"C.W. Obels Plads 3, 9000 Aalborg, 41446668, Under konkurs, Anpartsselskab",,,
Den Lille ApS (Under konkurs),"Holtevej 8, 9381 Sulsted, 40834303, Under konkurs, Anpartsselskab",,,
INVA 01 ApS (Under konkurs),"Østerågade 16, st., 9000 Aalborg, 43823477, Under konkurs, Anpartsselskab",,,
Restaurationsselskabet JAG 3 ApS (Under konkurs),"Kastetvej 44, 9000 Aalborg, 40107673, Under konkurs, Anpartsselskab",,,
La Trattoria Aalborg ApS (Under konkurs),"C.W. Obels Plads 1A, 9000 Aalborg, 41261862, Under konkurs, Anpartsselskab",,,
Vissa Pizzaria,"C/O Reber, Poulstrupvej 1, 9210 Aalborg SØ, 41216530, Ophørt, Enkeltmandsvirksomhed",,,
Wakaa Pizza,"Borgergade 15, st. th, 9000 Aalborg, 44681285, Ophørt, Enkeltmandsvirksomhed",,,
Bistro VH v/Diana Guldbæk,"Halsvej 199B, 9310 Vodskov, 44505649, Ophørt, Enkeltmandsvirksomhed",,,
Holles Vinstue ApS,"Algade 57, st., 9000 Aalborg, 40300236, Opløst efter konkurs, Anpartsselskab",,,
The Dosa Spot ApS,"Skudehavnsvej 35, 9000 Aalborg, 41125578, Opløst efter erklæring, Anpartsselskab",,,
Carl Frederik ApS,"Havnen 3, 9370 Hals, 44047462, Tvangsopløst, Anpartsselskab",,,
